id,sport_title,commence_time,home_team,away_team,bookmaker,outcome_name,odds
8d425080c17f48a58b29e334fa161259,MLB,2024-04-07T18:19:41Z,Chicago Cubs,Los Angeles Dodgers,Hard Rock Bet,Chicago Cubs,-10000.0
8d425080c17f48a58b29e334fa161259,MLB,2024-04-07T18:19:41Z,Chicago Cubs,Los Angeles Dodgers,Hard Rock Bet,Los Angeles Dodgers,1400.0
db527d9c98f489595bae507c1f84cc75,MLB,2024-04-07T20:07:00Z,Los Angeles Angels,Boston Red Sox,,,
89a9b9240575043a115368656eaa2253,MLB,2024-04-07T23:10:00Z,Texas Rangers,Houston Astros,Hard Rock Bet,Houston Astros,-105.0
89a9b9240575043a115368656eaa2253,MLB,2024-04-07T23:10:00Z,Texas Rangers,Houston Astros,Hard Rock Bet,Texas Rangers,-115.0
b426f150a2bf13712a4bb0fdf9ca1f25,MLB,2024-04-08T22:05:00Z,New York Yankees,Miami Marlins,Hard Rock Bet,Miami Marlins,135.0
b426f150a2bf13712a4bb0fdf9ca1f25,MLB,2024-04-08T22:05:00Z,New York Yankees,Miami Marlins,Hard Rock Bet,New York Yankees,-165.0
82d7fc73685b3efb7688b894c48bdd78,MLB,2024-04-08T22:40:00Z,Cincinnati Reds,Milwaukee Brewers,Hard Rock Bet,Cincinnati Reds,-115.0
82d7fc73685b3efb7688b894c48bdd78,MLB,2024-04-08T22:40:00Z,Cincinnati Reds,Milwaukee Brewers,Hard Rock Bet,Milwaukee Brewers,-105.0
9e7ab70be858b0fb1f713c4d4679158b,MLB,2024-04-08T22:40:00Z,Pittsburgh Pirates,Detroit Tigers,Hard Rock Bet,Detroit Tigers,105.0
9e7ab70be858b0fb1f713c4d4679158b,MLB,2024-04-08T22:40:00Z,Pittsburgh Pirates,Detroit Tigers,Hard Rock Bet,Pittsburgh Pirates,-125.0
9ba20b06d3d326b4397373d58269bf1f,MLB,2024-04-08T23:07:00Z,Toronto Blue Jays,Seattle Mariners,Hard Rock Bet,Seattle Mariners,100.0
9ba20b06d3d326b4397373d58269bf1f,MLB,2024-04-08T23:07:00Z,Toronto Blue Jays,Seattle Mariners,Hard Rock Bet,Toronto Blue Jays,-120.0
33840edd610451b693e76f7186e6a086,MLB,2024-04-08T23:20:00Z,Atlanta Braves,New York Mets,Hard Rock Bet,Atlanta Braves,-225.0
33840edd610451b693e76f7186e6a086,MLB,2024-04-08T23:20:00Z,Atlanta Braves,New York Mets,Hard Rock Bet,New York Mets,175.0
c47090b313f914cbd2518a9cfedd478b,MLB,2024-04-08T23:40:00Z,Minnesota Twins,Los Angeles Dodgers,Hard Rock Bet,Los Angeles Dodgers,-145.0
c47090b313f914cbd2518a9cfedd478b,MLB,2024-04-08T23:40:00Z,Minnesota Twins,Los Angeles Dodgers,Hard Rock Bet,Minnesota Twins,120.0
edbf77a61511a18abd0f24a13c82ee44,MLB,2024-04-08T23:45:00Z,St. Louis Cardinals,Philadelphia Phillies,Hard Rock Bet,Philadelphia Phillies,105.0
edbf77a61511a18abd0f24a13c82ee44,MLB,2024-04-08T23:45:00Z,St. Louis Cardinals,Philadelphia Phillies,Hard Rock Bet,St. Louis Cardinals,-125.0
6405754c8dc94d07532f8c89275efca8,MLB,2024-04-09T00:05:00Z,Texas Rangers,Houston Astros,Hard Rock Bet,Houston Astros,-135.0
6405754c8dc94d07532f8c89275efca8,MLB,2024-04-09T00:05:00Z,Texas Rangers,Houston Astros,Hard Rock Bet,Texas Rangers,115.0
d5a79b3f863d1b41ca5b9996daade0b0,MLB,2024-04-09T00:40:00Z,Colorado Rockies,Arizona Diamondbacks,Hard Rock Bet,Arizona Diamondbacks,-180.0
d5a79b3f863d1b41ca5b9996daade0b0,MLB,2024-04-09T00:40:00Z,Colorado Rockies,Arizona Diamondbacks,Hard Rock Bet,Colorado Rockies,150.0
c163b5f5f4579c8293266956ccf3d9bd,MLB,2024-04-09T01:38:00Z,Los Angeles Angels,Tampa Bay Rays,Hard Rock Bet,Los Angeles Angels,120.0
c163b5f5f4579c8293266956ccf3d9bd,MLB,2024-04-09T01:38:00Z,Los Angeles Angels,Tampa Bay Rays,Hard Rock Bet,Tampa Bay Rays,-145.0
7d584f5a2dea3c913e37536fe1fdcab5,MLB,2024-04-09T01:40:00Z,San Diego Padres,Chicago Cubs,Hard Rock Bet,Chicago Cubs,120.0
7d584f5a2dea3c913e37536fe1fdcab5,MLB,2024-04-09T01:40:00Z,San Diego Padres,Chicago Cubs,Hard Rock Bet,San Diego Padres,-145.0
39fb014f345a723482084e5aca2bc5d4,MLB,2024-04-09T01:45:00Z,San Francisco Giants,Washington Nationals,Hard Rock Bet,San Francisco Giants,-250.0
39fb014f345a723482084e5aca2bc5d4,MLB,2024-04-09T01:45:00Z,San Francisco Giants,Washington Nationals,Hard Rock Bet,Washington Nationals,190.0
